,City,Population (2020),Province,Region,Legal Class,Charter,Area_km2,Area_mi2,Density_km2,Density_mi2,Chater,Approval_date,Approval_a,Approval_b,Approval_c,Ratification_date,Ratification_a,Ratification_b,Ratification_c,Article Link
0,Alaminos,99397,Pangasinan,I,CC,RA 09025 [7],164.26,63.42,605.0,1567.0,RA 09025 ,"('March', '5', '2001')",March,5,2001,"('March', '28', '2001')",March,28,2001,"/wiki/Alaminos,_Pangasinan"
1,Angeles City,462928,Pampanga,III,HUC,RA 03700 [9],60.27,23.27,6985.0,18092.0,RA 03700 ,"('June', '22', '1963')",June,22,1963,"('January', '1', '1964')",January,1,1964,/wiki/Angeles_City
2,Antipolo,887399,Rizal,IV-A,CC,RA 08508 [10],306.1,118.19,2899.0,7509.0,RA 08508 ,"('February', '13', '1998')",February,13,1998,"('April', '4', '1998')",April,4,1998,/wiki/Antipolo
3,Bacolod,600783,Negros Occidental,VI,HUC,CA 326 [11],162.67,62.81,3693.0,9566.0,CA 326 ,"('June', '18', '1938')",June,18,1938,"('October', '19', '1938')",October,19,1938,/wiki/Bacolod
4,Bacoor,664625,Cavite,IV-A,CC,RA 10160 [14],46.17,17.83,14395.0,37283.0,RA 10160 ,"('April', '10', '2012')",April,10,2012,"('June', '23', '2012')",June,23,2012,/wiki/Bacoor
5,Bago,191210,Negros Occidental,VI,CC,RA 04382 [16],401.2,154.9,477.0,1234.0,RA 04382 ,"('June', '19', '1965')",June,19,1965,"('February', '19', '1966')",February,19,1966,"/wiki/Bago,_Negros_Occidental"
6,Baguio,366358,Benguet,CAR,HUC,Act 1963,57.51,22.2,6370.0,16499.0,Act 1963,"('September', '1', '1909')",September,1,1909,"('September', '1', '1909')",September,1,1909,/wiki/Baguio
7,Bais,84317,Negros Oriental,VII,CC,RA 05444 [18],319.64,123.41,264.0,683.0,RA 05444 ,"('September', '9', '1968')",September,9,1968,"('September', '9', '1968')",September,9,1968,"/wiki/Bais,_Negros_Oriental"
8,Balanga,104173,Bataan,III,CC,RA 08984 [19],111.63,43.1,933.0,2417.0,RA 08984 ,"('December', '5', '2000')",December,5,2000,"('December', '30', '2000')",December,30,2000,"/wiki/Balanga,_Bataan"
9,Baliwag,168470,Bulacan,III,CC,RA 11929 [20],45.05,17.39,3740.0,9686.0,RA 11929 ,"('July', '30', '2022')",July,30,2022,"('December', '17', '2022')",December,17,2022,/wiki/Baliwag
10,Batac,55484,Ilocos Norte,I,CC,RA 09407 [21],161.06,62.19,344.0,892.0,RA 09407 ,"('March', '24', '2007')",March,24,2007,"('June', '23', '2007')",June,23,2007,/wiki/Batac
11,Batangas City,351437,Batangas,IV-A,CC,RA 05495 [23],282.96,109.25,1242.0,3217.0,RA 05495 ,"('June', '21', '1969')",June,21,1969,"('June', '21', '1969')",June,21,1969,/wiki/Batangas_City
12,Bayawan,122747,Negros Oriental,VII,CC,RA 08983 [24],699.08,269.92,176.0,455.0,RA 08983 ,"('December', '5', '2000')",December,5,2000,"('December', '23', '2000')",December,23,2000,/wiki/Bayawan
13,Baybay,111848,Leyte,VIII,CC,RA 09389 [25],459.3,177.34,244.0,631.0,RA 09389 ,"('March', '15', '2007')",March,15,2007,"('June', '16', '2007')",June,16,2007,/wiki/Baybay
14,Bayugan,109499,Agusan del Sur,XIII,CC,RA 09405 [27],688.77,265.94,159.0,412.0,RA 09405 ,"('March', '23', '2007')",March,23,2007,"('June', '20', '2007')",June,20,2007,/wiki/Bayugan
15,Biñan,407437,Laguna,IV-A,CC,RA 09740 [28],43.5,16.8,9366.0,24259.0,RA 09740 ,"('October', '30', '2009')",October,30,2009,"('February', '2', '2010')",February,2,2010,/wiki/Bi%C3%B1an
16,Bislig,99290,Surigao del Sur,XIII,CC,RA 08804 [30],331.8,128.11,299.0,775.0,RA 08804 ,"('August', '16', '2000')",August,16,2000,"('September', '18', '2000')",September,18,2000,/wiki/Bislig
17,Bogo,88867,Cebu,VII,CC,RA 09390 [31],103.52,39.97,858.0,2223.0,RA 09390 ,"('March', '15', '2007')",March,15,2007,"('June', '16', '2007')",June,16,2007,"/wiki/Bogo,_Cebu"
18,Borongan,71961,Eastern Samar,VIII,CC,RA 09394 [32],475.0,183.4,151.0,392.0,RA 09394 ,"('March', '16', '2007')",March,16,2007,"('June', '20', '2007')",June,20,2007,/wiki/Borongan
19,Butuan,372910,Agusan del Norte,XIII,HUC,RA 00523 [33],816.62,315.3,457.0,1183.0,RA 00523 ,"('June', '15', '1950')",June,15,1950,"('August', '2', '1950')",August,2,1950,/wiki/Butuan
20,Cabadbaran,80354,Agusan del Norte,XIII,CC,RA 09434 [35],214.44,82.8,375.0,971.0,RA 09434 ,"('April', '12', '2007')",April,12,2007,"('July', '28', '2007')",July,28,2007,/wiki/Cabadbaran
21,Cabanatuan,327325,Nueva Ecija,III,CC,RA 00526 [37],192.29,74.24,1702.0,4409.0,RA 00526 ,"('June', '16', '1950')",June,16,1950,"('July', '24', '1950')",July,24,1950,/wiki/Cabanatuan
22,Cabuyao,355330,Laguna,IV-A,CC,RA 10163 [39],43.4,16.76,8187.0,21205.0,RA 10163 ,"('May', '16', '2012')",May,16,2012,"('August', '4', '2012')",August,4,2012,/wiki/Cabuyao
23,Cadiz,158544,Negros Occidental,VI,CC,RA 04894 [41],524.57,202.54,302.0,783.0,RA 04894 ,"('June', '17', '1967')",June,17,1967,"('July', '4', '1967')",July,4,1967,"/wiki/Cadiz,_Negros_Occidental"
24,Cagayan de Oro,728402,Misamis Oriental,X,HUC,RA 00521 [43],412.8,159.38,1765.0,4570.0,RA 00521 ,"('June', '15', '1950')",June,15,1950,"('June', '15', '1950')",June,15,1950,/wiki/Cagayan_de_Oro
25,Calaca,87361,Batangas,IV-A,CC,RA 11544 [45],114.58,44.24,762.0,1975.0,RA 11544 ,"('May', '26', '2021')",May,26,2021,"('September', '3', '2022')",September,3,2022,"/wiki/Calaca,_Batangas"
26,Calamba,539671,Laguna,IV-A,CC,RA 09024 [46],149.5,57.72,3610.0,9349.0,RA 09024 ,"('March', '5', '2001')",March,5,2001,"('April', '21', '2001')",April,21,2001,"/wiki/Calamba,_Laguna"
27,Calapan,145786,Oriental Mindoro,Mimaropa,CC,RA 08475 [47],250.06,96.55,583.0,1510.0,RA 08475 ,"('February', '2', '1998')",February,2,1998,"('March', '21', '1998')",March,21,1998,/wiki/Calapan
28,Calbayog,186960,Samar,VIII,CC,RA 00328 [48],880.74,340.06,212.0,550.0,RA 00328 ,"('July', '15', '1948')",July,15,1948,"('October', '16', '1948')",October,16,1948,/wiki/Calbayog
29,Caloocan,1661584,none ,NCR,HUC,RA 03278 [50],55.8,21.54,29777.0,77123.0,RA 03278 ,"('June', '17', '1961')",June,17,1961,"('February', '16', '1962')",February,16,1962,/wiki/Caloocan
30,Candon,61432,Ilocos Sur,I,CC,RA 09018 [51],103.28,39.88,595.0,1541.0,RA 09018 ,"('March', '5', '2001')",March,5,2001,"('March', '28', '2001')",March,28,2001,/wiki/Candon
31,Canlaon,58822,Negros Oriental,VII,CC,RA 03445 [52],170.93,66.0,344.0,891.0,RA 03445 ,"('June', '18', '1961')",June,18,1961,"('June', '18', '1961')",June,18,1961,/wiki/Canlaon
32,Carcar,136453,Cebu,VII,CC,RA 09436 [53],116.78,45.09,1168.0,3026.0,RA 09436 ,"('April', '15', '2007')",April,15,2007,"('July', '1', '2007')",July,1,2007,/wiki/Carcar
